,2023-07-14 00:00:00+00:00,0,22.49,splk,temperature
0,2023-07-14 00:00:00+00:00,0.25,22.483,splk,temperature
1,2023-07-14 00:00:00+00:00,0.5,22.512,splk,temperature
2,2023-07-14 00:00:00+00:00,0.75,22.509,splk,temperature
3,2023-07-14 00:00:00+00:00,1.0,23.071,splk,temperature
4,2023-07-14 00:00:00+00:00,1.25,22.865,splk,temperature
5,2023-07-14 00:00:00+00:00,1.5,22.498,splk,temperature
6,2023-07-14 00:00:00+00:00,2.0,22.388,splk,temperature
7,2023-07-14 00:00:00+00:00,2.5,22.278,splk,temperature
8,2023-07-14 00:00:00+00:00,3.0,22.127,splk,temperature
9,2023-07-14 00:00:00+00:00,3.5,22.078,splk,temperature
10,2023-07-14 00:00:00+00:00,4.0,21.957,splk,temperature
11,2023-07-14 00:00:00+00:00,4.5,21.598,splk,temperature
12,2023-07-14 00:00:00+00:00,5.0,16.964,splk,temperature
13,2023-07-14 00:00:00+00:00,6.0,11.662,splk,temperature
14,2023-07-14 00:00:00+00:00,7.0,9.226,splk,temperature
15,2023-07-14 00:00:00+00:00,8.0,7.525,splk,temperature
16,2023-07-14 00:00:00+00:00,9.0,6.59,splk,temperature
17,2023-07-14 00:00:00+00:00,10.0,5.778,splk,temperature
18,2023-07-14 00:00:00+00:00,11.0,5.22,splk,temperature
19,2023-07-14 00:00:00+00:00,12.0,4.766,splk,temperature
20,2023-07-14 00:00:00+00:00,13.0,4.561,splk,temperature
21,2023-07-14 00:00:00+00:00,14.0,4.438,splk,temperature
22,2023-07-14 00:00:00+00:00,16.0,4.384,splk,temperature
23,2023-07-15 00:00:00+00:00,0.0,23.094,splk,temperature
24,2023-07-15 00:00:00+00:00,0.25,23.084,splk,temperature
25,2023-07-15 00:00:00+00:00,0.5,23.106,splk,temperature
26,2023-07-15 00:00:00+00:00,0.75,23.056,splk,temperature
27,2023-07-15 00:00:00+00:00,1.0,23.526,splk,temperature
28,2023-07-15 00:00:00+00:00,1.25,23.178,splk,temperature
29,2023-07-15 00:00:00+00:00,1.5,22.759,splk,temperature
30,2023-07-15 00:00:00+00:00,2.0,22.709,splk,temperature
31,2023-07-15 00:00:00+00:00,2.5,22.443,splk,temperature
32,2023-07-15 00:00:00+00:00,3.0,22.255,splk,temperature
33,2023-07-15 00:00:00+00:00,3.5,22.186,splk,temperature
34,2023-07-15 00:00:00+00:00,4.0,22.017,splk,temperature
35,2023-07-15 00:00:00+00:00,4.5,21.663,splk,temperature
36,2023-07-15 00:00:00+00:00,5.0,17.309,splk,temperature
37,2023-07-15 00:00:00+00:00,6.0,12.554,splk,temperature
